dtm,Obsdate,spot,K,price,IV old
1,170123,19.5,19,1.005,0.6641
1,170123,19.5,20,0.38,0.7109
1,170123,19.5,21,0.17,0.9102
1,170123,19.5,22,0.095,1.1094
1,170123,19.5,23,0.065,1.3203
1,170123,19.5,24,0.04,1.4531
1,170123,19.5,25,0.04,1.7031
1,170123,19.5,26,0.03,1.8438
1,170123,19.5,27,0.03,2.0625
1,170123,19.5,28,0.015,1.9375
1,170123,19.5,29,0.025,2.2188
1,170123,19.5,30,0.02,2.375
3,200123,20.52,19,1.8,1.0449
3,200123,20.52,20,1.22,0.8809
3,200123,20.52,21,0.71,0.8613
3,200123,20.52,22,0.49,0.8984
3,200123,20.52,23,0.31,0.9727
3,200123,20.52,24,0.17,1.0508
3,200123,20.52,25,0.13,1.1172
3,200123,20.52,26,0.08,1.1992
3,200123,20.52,27,0.08,1.2969
3,200123,20.52,28,0.09,1.3906
3,200123,20.52,29,0.05,1.4688
3,200123,20.52,30,0.04,1.5625
3,200123,20.52,31,0.03,1.6406
3,200123,20.52,32,0.08,1.7188
3,200123,20.52,34,0.05,1.875
3,200123,20.52,35,0.02,1.9531
3,200123,20.52,36,0.02,2.0469
3,200123,20.52,38,0.02,2.1563
21,200123,20.52,20,4.07,1.2969
21,200123,20.52,21,3.05,1.2275
21,200123,20.52,22,2.57,1.1885
21,200123,20.52,23,2.21,1.1689
21,200123,20.52,25,1.55,1.166
21,200123,20.52,26,1.39,1.1748
21,200123,20.52,27,1.15,1.1856
21,200123,20.52,28,1,1.2012
21,200123,20.52,30,0.75,1.2295
21,200123,20.52,35,0.45,1.3203
21,200123,20.52,40,0.26,1.4277
63,200123,20.52,17,5.63,1.1709
63,200123,20.52,20,3.6,1
63,200123,20.52,21,3.2,0.9834
63,200123,20.52,23,2.46,0.9834
63,200123,20.52,24,2.23,0.9912
63,200123,20.52,25,1.96,1.001
63,200123,20.52,26,1.71,1.0127
63,200123,20.52,27,1.54,1.0244
63,200123,20.52,28,1.42,1.0391
63,200123,20.52,29,1.28,1.0523
63,200123,20.52,30,1.18,1.0674
63,200123,20.52,31,1.13,1.0811
63,200123,20.52,32,0.99,1.0967
63,200123,20.52,33,0.93,1.1182
63,200123,20.52,34,0.86,1.1279
63,200123,20.52,35,0.82,1.1406
63,200123,20.52,36,0.83,1.1543
63,200123,20.52,37,0.72,1.1709
63,200123,20.52,38,0.68,1.1904
63,200123,20.52,39,0.67,1.1992
63,200123,20.52,40,0.62,1.2148
